UA;SU;SUBP1;SUBP2;SUBP3;SUBP4;SUBP5;SUBP6;SUBP7;SUBP8;SUBP9;SUBP10;CONT_TOCO;FLORESTA;ARVORES;NATURAL;AGRICULTURA;OUTRAS
ES_79;3;112;112;112;112;112;112;112;112;112;112;0;1.0;0.0;0.0;0.0;0.0
ES_79;4;112;112;112;112;112;112;112;112;112;112;0;1.0;0.0;0.0;0.0;0.0
ES_8;1;45;45;45;45;45;45;58;58;58;58;0;0.0;0.0;0.0;0.6;0.4
ES_8;2;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_8;3;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_8;4;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_80;1;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_80;2;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_80;3;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_80;4;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_82;1;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_82;2;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_82;3;112;112;112;112;112;112;112;112;112;112;0;1.0;0.0;0.0;0.0;0.0
ES_83;1;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_83;2;19;51;19;19;19;19;19;19;19;19;0;0.9;0.0;0.0;0.0;0.1
ES_83;3;51;51;51;51;19;51;19;19;19;19;0;0.5;0.0;0.0;0.0;0.5
ES_83;4;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_84;1;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_84;2;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_84;3;19;19;19;19;19;19;19;19;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_84;4;19;19;19;19;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_85;1;43;19;19;43;43;19;43;43;43;43;0;0.3;0.0;0.0;0.7;0.0
ES_85;2;19;19;19;19;19;19;19;19;19;19;0;1.0;0.0;0.0;0.0;0.0
ES_85;3;19;19;19;19;19;19;19;19;19;19;0;1.0;0.0;0.0;0.0;0.0
ES_87;1;112;112;112;112;112;112;112;112;112;112;0;1.0;0.0;0.0;0.0;0.0
ES_87;2;112;112;112;112;112;112;112;112;112;112;0;1.0;0.0;0.0;0.0;0.0
ES_87;3;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_87;4;112;112;112;112;112;112;112;112;112;112;0;1.0;0.0;0.0;0.0;0.0
ES_88;1;112;112;112;112;112;112;112;112;112;113;0;1.0;0.0;0.0;0.0;0.0
ES_88;2;57;112;112;112;112;112;113;113;113;113;0;0.9;0.0;0.0;0.0;0.1
ES_88;3;112;112;112;112;112;112;112;112;112;112;0;1.0;0.0;0.0;0.0;0.0
ES_88;4;112;112;112;112;112;112;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_89;1;42;42;42;42;42;42;42;42;42;42;0;0.0;0.0;0.0;1.0;0.0
ES_89;2;42;42;42;42;42;42;42;42;42;42;0;0.0;0.0;0.0;1.0;0.0
ES_89;3;42;42;42;42;42;42;42;42;42;42;0;0.0;0.0;0.0;1.0;0.0
ES_89;4;113;113;113;113;42;42;42;42;42;42;0;0.4;0.0;0.0;0.6;0.0
ES_9;1;19;19;19;19;19;19;19;19;19;19;0;1.0;0.0;0.0;0.0;0.0
ES_9;2;42;42;42;42;42;42;42;42;42;42;0;0.0;0.0;0.0;1.0;0.0
ES_9;3;19;19;19;19;19;19;19;19;19;19;0;1.0;0.0;0.0;0.0;0.0
ES_9;4;19;19;19;19;19;19;19;19;19;19;0;1.0;0.0;0.0;0.0;0.0
ES_90;1;112;112;112;112;112;112;112;45;45;45;0;0.7;0.0;0.0;0.3;0.0
ES_90;2;112;112;112;112;112;112;112;112;112;112;0;1.0;0.0;0.0;0.0;0.0
ES_90;3;112;112;112;112;112;112;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_90;4;42;42;42;42;42;42;42;42;42;42;0;0.0;0.0;0.0;1.0;0.0
ES_91;3;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_91;4;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_92;1;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_92;2;112;112;112;112;112;112;112;112;112;112;0;1.0;0.0;0.0;0.0;0.0
ES_92;3;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_92;4;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_93;1;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_93;2;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_93;3;42;42;42;42;42;42;42;42;42;42;0;0.0;0.0;0.0;1.0;0.0
ES_93;4;113;113;113;113;112;112;112;112;112;112;0;1.0;0.0;0.0;0.0;0.0
ES_94;1;112;112;112;112;112;112;112;112;112;112;0;1.0;0.0;0.0;0.0;0.0
ES_94;2;112;112;112;112;112;112;112;112;112;112;0;1.0;0.0;0.0;0.0;0.0
ES_94;3;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_94;4;112;112;112;112;112;112;112;112;112;112;0;1.0;0.0;0.0;0.0;0.0
ES_98;1;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_98;2;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_98;3;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_98;4;113;113;113;113;113;113;112;112;112;112;0;1.0;0.0;0.0;0.0;0.0
ES_99;1;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_99;2;112;45;45;112;112;45;45;45;45;45;0;0.3;0.0;0.0;0.7;0.0
ES_99;3;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_99;4;112;112;112;112;112;112;112;112;112;112;0;1.0;0.0;0.0;0.0;0.0
