UA;SU;SUBP1;SUBP2;SUBP3;SUBP4;SUBP5;SUBP6;SUBP7;SUBP8;SUBP9;SUBP10;CONT_TOCO;FLORESTA;ARVORES;NATURAL;AGRICULTURA;OUTRAS
ES_26;2;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_26;3;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_26;4;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_28;1;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_28;2;51;51;51;51;51;51;51;51;51;51;0;0.0;0.0;0.0;0.0;1.0
ES_28;3;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_28;4;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_29;1;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_29;2;45;45;43;43;43;43;43;43;43;43;0;0.0;0.0;0.0;1.0;0.0
ES_29;3;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_29;4;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_3;1;19;19;19;19;19;19;19;19;19;19;0;1.0;0.0;0.0;0.0;0.0
ES_3;2;19;19;19;19;19;19;19;19;19;19;0;1.0;0.0;0.0;0.0;0.0
ES_3;3;19;19;19;19;19;19;19;19;19;19;0;1.0;0.0;0.0;0.0;0.0
ES_3;4;19;19;19;19;19;19;19;19;19;19;0;1.0;0.0;0.0;0.0;0.0
ES_30;1;42;42;42;42;42;42;42;42;42;42;0;0.0;0.0;0.0;1.0;0.0
ES_30;2;42;42;55;55;55;55;55;55;55;55;0;0.0;0.0;0.0;0.2;0.8
ES_30;3;51;113;113;113;113;113;113;113;113;113;0;0.9;0.0;0.0;0.0;0.1
ES_30;4;42;42;42;42;42;42;42;42;42;42;0;0.0;0.0;0.0;1.0;0.0
ES_31;1;112;112;112;112;112;112;112;112;112;112;0;1.0;0.0;0.0;0.0;0.0
ES_31;2;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_31;3;112;112;112;112;112;112;112;112;112;112;1;1.0;0.0;0.0;0.0;0.0
ES_31;4;19;19;19;19;19;19;19;19;19;19;0;1.0;0.0;0.0;0.0;0.0
ES_32;1;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_32;2;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_32;3;45;45;58;58;113;113;113;113;113;113;0;0.6;0.0;0.0;0.2;0.2
ES_32;4;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_33;1;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_33;2;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_33;3;45;45;45;45;45;45;45;45;45;51;0;0.0;0.0;0.0;0.9;0.1
ES_33;4;45;45;45;45;45;45;45;45;51;43;0;0.0;0.0;0.0;0.9;0.1
ES_34;1;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_34;2;45;45;45;45;45;45;45;45;113;113;0;0.2;0.0;0.0;0.8;0.0
ES_34;3;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_34;4;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_36;1;45;42;42;45;45;42;42;45;45;42;0;0.0;0.0;0.0;1.0;0.0
ES_36;2;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_36;3;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_36;4;51;51;42;42;42;42;42;42;42;42;0;0.0;0.0;0.0;0.8;0.2
ES_37;1;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_37;2;45;42;42;45;45;45;45;45;112;112;0;0.2;0.0;0.0;0.8;0.0
ES_37;3;42;42;42;42;42;42;42;42;42;42;0;0.0;0.0;0.0;1.0;0.0
ES_37;4;42;42;42;42;42;42;45;42;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_38;1;113;113;113;113;113;113;113;113;113;113;66;1.0;0.0;0.0;0.0;0.0
ES_38;2;112;112;112;112;112;112;112;112;112;113;0;1.0;0.0;0.0;0.0;0.0
ES_38;3;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_38;4;113;113;112;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_4;1;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_4;2;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_4;3;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_4;4;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_40;2;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_40;3;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_40;4;45;45;51;51;45;58;58;45;58;58;0;0.0;0.0;0.0;0.4;0.6
ES_41;1;112;112;112;112;112;112;112;112;112;112;0;1.0;0.0;0.0;0.0;0.0
ES_41;2;112;112;112;112;112;112;112;112;112;112;0;1.0;0.0;0.0;0.0;0.0
ES_41;3;112;112;112;112;112;112;112;112;112;112;0;1.0;0.0;0.0;0.0;0.0
ES_41;4;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_42;1;58;58;58;58;19;58;19;19;19;19;0;0.5;0.0;0.0;0.0;0.5
ES_42;2;42;42;42;42;42;42;42;42;42;42;0;0.0;0.0;0.0;1.0;0.0
ES_42;3;42;42;42;42;42;42;42;42;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_42;4;45;45;45;45;58;45;58;58;58;58;0;0.0;0.0;0.0;0.5;0.5
ES_43;1;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_43;2;45;45;45;45;45;45;57;57;57;57;0;0.0;0.0;0.0;0.6;0.4
ES_43;3;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_43;4;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_44;1;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_44;3;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_44;4;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_45;1;42;42;42;42;42;42;42;42;42;42;0;0.0;0.0;0.0;1.0;0.0
ES_45;2;42;42;51;51;113;113;113;113;113;113;0;0.6;0.0;0.0;0.2;0.2
ES_45;3;113;113;113;113;113;113;113;112;113;113;2;1.0;0.0;0.0;0.0;0.0
ES_45;4;112;112;112;112;112;113;112;113;113;113;4;1.0;0.0;0.0;0.0;0.0
ES_46;1;58;58;58;58;58;58;58;58;58;58;0;0.0;0.0;0.0;0.0;1.0
ES_46;2;42;42;42;42;42;42;42;42;42;42;0;0.0;0.0;0.0;1.0;0.0
ES_46;3;42;42;42;42;42;42;42;42;42;42;0;0.0;0.0;0.0;1.0;0.0
ES_46;4;42;42;42;42;42;42;42;42;42;42;0;0.0;0.0;0.0;1.0;0.0
ES_48;1;42;42;113;42;113;113;57;113;113;113;0;0.6;0.0;0.0;0.3;0.1
ES_48;2;51;51;51;51;51;51;51;51;51;51;0;0.0;0.0;0.0;0.0;1.0
ES_48;3;43;43;113;113;113;113;113;113;113;113;0;0.8;0.0;0.0;0.2;0.0
ES_48;4;42;55;55;55;55;55;55;55;55;55;0;0.0;0.0;0.0;0.1;0.9
ES_49;1;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_49;2;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_49;3;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_49;4;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
